timestamp,air_temperature,air_humidity,soil_temperature,soil_moisture,light_lux,pump_state,fan_state,grow_light_state
2024-06-01T00:00,29.6,83,29.6,0.4,0,0,0,0
2024-06-01T01:00,29.3982025937819,84.2187042759205,29.5836013436983,0.399928058690231,0,0,0,0
2024-06-01T02:00,29.0537454304781,85.0032419346876,29.5613827748302,0.399860449558676,0,0,0,0
2024-06-01T03:00,28.786197800374,86.2142605023378,29.532492913321,0.399798584318981,0,0,0,0
2024-06-01T04:00,28.7014433704879,86.6178550411301,29.5004443515226,0.399741046049986,0,0,0,0
2024-06-01T05:00,28.6326499583341,86.4776497754137,29.4680237658309,0.399683946685756,0,0,0,0
2024-06-01T06:00,28.6266339807743,87.5155179090827,29.4398649826681,0.39956335254605,2270.1008,1,0,0
2024-06-01T07:00,29.0955711707033,92.8539051310033,29.4538973492357,0.407252254039157,17175.8752,0,0,0
2024-06-01T08:00,30.3484120561575,98.3670439499807,29.5592236064864,0.405573728614631,35020.832,0,0,0
2024-06-01T09:00,32.1183194603228,95.4569606495758,29.7861090312121,0.402608387592834,54960.8576,0,1,0
2024-06-01T10:00,33.6720975083133,80.1194911240426,30.1270660767001,0.398360439635115,69954.632,0,1,0
2024-06-01T11:00,34.6518745177351,72.5214379475875,30.5334529325389,0.393391652128821,77644.4944,0,1,0
2024-06-01T12:00,35.0201010024778,66.3141432341794,30.9460316809537,0.388334178941625,72734.5696,0,1,0
2024-06-01T13:00,34.7807299626818,65.4731222027843,31.3179701293508,0.383699096185674,64498.192,0,1,0
2024-06-01T14:00,34.6557693076592,64.4331798177306,31.6386435107971,0.379573238274741,59218.016,0,1,0
2024-06-01T15:00,34.2197251330951,66.0826967120614,31.8844132299126,0.376341260020742,39384.1536,0,1,0
2024-06-01T16:00,33.4316982952009,66.0177951474419,32.0343341835282,0.374206523612093,26185.4736,0,1,0
2024-06-01T17:00,32.810989884772,66.1915292022628,32.1167952458733,0.372758549823882,16665.2464,0,1,0
2024-06-01T18:00,32.236279637094,69.8692198229166,32.1415335984799,0.37195496437499,4733.8368,1,0,0
2024-06-01T19:00,31.5031899422557,70.2028087287726,32.1166828469305,0.379993304533908,0,0,0,0
2024-06-01T20:00,30.9014455552021,73.9527165476205,32.0672665978311,0.379855984327232,0,0,0,0
2024-06-01T21:00,30.4030227099611,77.7236858729655,32.0073718253976,0.379741048160887,0,0,0,0
2024-06-01T22:00,29.915833439377,81.5284688400748,31.9381917036493,0.379646782337607,0,0,0,0
2024-06-01T23:00,29.4269465820802,84.3940918926799,31.8600698251387,0.379570318031126,0,0,0,0
2024-06-02T00:00,28.9975942607731,86.5167712100632,31.7737254902607,0.379506832898204,0,0,0,0
2024-06-02T01:00,28.6027322493955,88.4326164841716,31.6807370343087,0.379453270640966,0,0,0,0
2024-06-02T02:00,28.4502842390286,90.8618897434157,31.5836576837874,0.379409952367531,0,0,0,0
2024-06-02T03:00,28.4335666655543,89.5045216410127,31.4879607173374,0.379369577468663,0,0,0,0
2024-06-02T04:00,28.3698808219118,89.1569607460541,31.3942262379393,0.379324578014597,0,0,0,0
2024-06-02T05:00,28.1543823802458,89.6788176052852,31.3001582838602,0.379280396501156,0,0,0,0
2024-06-02T06:00,28.0758798502019,91.6895976660732,31.2091494285137,0.379176833374584,2199.736,1,0,0
2024-06-02T07:00,29.6303573232156,87.4131141889773,31.1738217881094,0.386825487926483,17633.7744,0,0,0
2024-06-02T08:00,31.4573303887483,87.1464339200479,31.2606747385042,0.384979802727506,36745.8256,0,0,0
2024-06-02T09:00,32.7334171795796,78.6240635542413,31.460554181805,0.381932623870393,54097.7888,0,1,0
2024-06-02T10:00,34.0682031912842,79.1834101098009,31.7666702437348,0.377634290065106,71855.8896,0,1,0
2024-06-02T11:00,35.3953649496711,75.553209589018,32.1683827982736,0.372245618565296,80973.2352,0,1,0
2024-06-02T12:00,36.2836780367548,69.7812638454984,32.6209380276342,0.366283905609268,82259.1088,0,1,0
2024-06-02T13:00,36.7469078918128,68.802423390623,33.0973557381056,0.359975721608437,86360.1904,0,1,0
2024-06-02T14:00,36.37082144321,65.549738192764,33.5139240911414,0.354354760270272,67227.248,0,1,0
2024-06-02T15:00,34.5755545612162,69.5658789518112,33.7883968858291,0.350301821584969,48132.216,0,1,0
2024-06-02T16:00,32.9780116167591,76.0140422012554,33.952055970246,0.34719214357859,39879.1712,0,1,0
2024-06-02T17:00,31.8055614616852,76.5757199047257,34.0127557177429,0.34511085644033,17721.8624,0,1,0
2024-06-02T18:00,31.0851414080942,77.311896230719,33.9684749259925,0.3442197352057,5983.384,1,0,0
2024-06-02T19:00,30.6094271192891,75.642082164985,33.8725648090888,0.352253630945377,0,0,0,0
2024-06-02T20:00,30.0195124817855,82.5668287371274,33.7551868126709,0.352153639637414,0,0,0,0
2024-06-02T21:00,29.6439564837089,84.1417028380835,33.6292718479629,0.352080110347061,0,0,0,0
2024-06-02T22:00,29.30983306099,85.6175138290806,33.4998862701624,0.352012412415588,0,0,0,0
2024-06-02T23:00,29.100640479722,86.1753251017913,33.3673999971265,0.351951236732864,0,0,0,0
2024-06-03T00:00,28.8106566061903,86.6605873175667,33.2338710705839,0.351892280198749,0,0,0,0
2024-06-03T01:00,28.4268673122023,89.1637867647436,33.0961767656234,0.351840686631362,0,0,0,0
2024-06-03T02:00,28.2153062423005,92.4140083049191,32.9551958978781,0.351802545516052,0,0,0,0
2024-06-03T03:00,28.0453445676796,92.6226907791293,32.8144605458295,0.351772225767418,0,0,0,0
2024-06-03T04:00,27.9694838586627,92.8941155031259,32.6745075265973,0.351742770148929,0,0,0,0
2024-06-03T05:00,28.0192981288938,92.2023905138244,32.5382866368745,0.351712621927922,0,0,0,0
2024-06-03T06:00,28.0896934796682,92.9869180717712,32.4133691782667,0.351595905798647,2622.1888,1,0,0
2024-06-03T07:00,29.2796268899894,96.8721919788866,32.3497955504523,0.35914800551709,19253.3968,0,0,0
2024-06-03T08:00,31.3810118453235,100,32.4200638641012,0.357023040016778,39756.9568,0,0,0
2024-06-03T09:00,33.5464815799118,81.0237560278338,32.6409636552021,0.35337562559601,59187.0576,0,1,0
2024-06-03T10:00,35.1838773764153,73.0807915275674,32.980115539019,0.348431747667172,71365.888,0,1,0
2024-06-03T11:00,36.5613644806818,70.7589669277881,33.408208541798,0.342492568160065,84477.8,0,1,0
2024-06-03T12:00,37.3675966583122,67.1679224520507,33.8940620341358,0.335876873545053,87997.8,0,1,0
2024-06-03T13:00,37.9218648113328,65.6751227552344,34.3851291215378,0.329165644953321,86677.624,0,1,0
2024-06-03T14:00,37.5473672162397,64.086110097455,34.8207971838659,0.323102562361795,72350.7312,0,1,0
2024-06-03T15:00,36.4749495096856,63.2044088200757,35.1409777035354,0.318287004281648,56035.4608,0,1,0
2024-06-03T16:00,34.6568106988976,67.0522006594815,35.3235650084134,0.314908757758687,35004.1648,0,1,0
2024-06-03T17:00,33.3506364482554,68.821159784856,35.363298467708,0.313017050027329,15416.4912,0,1,0
2024-06-03T18:00,32.562122003706,72.2420078893498,35.3133161107218,0.312114592384412,6494.0128,1,0,0
